pid,hid2016,area_siz2016,gender2016,age_gr2016,age2016,mob_use2016,mob_num2016,mob_csp2016,mob_dev2016,c01_gr2016,c02_gr2016,c03_gr2016,c04_gr2016,c05_gr2016,sns_use2016,freq_sns12016,news_med12016,news_med22016,news_med32016,news_plat12016,news_plat22016,news_plat32016,year2016,hid2017,area_siz2017,gender2017,age_gr2017,age2017,mob_use2017,mob_num2017,mob_csp2017,mob_dev2017,c01_gr2017,c02_gr2017,c03_gr2017,c04_gr2017,c05_gr2017,sns_use2017,freq_sns12017,news_med12017,news_med22017,news_med32017,news_plat12017,news_plat22017,news_plat32017,year2017,hid2018,area_siz2018,gender2018,age_gr2018,age2018,mob_use2018,mob_num2018,mob_csp2018,mob_dev2018,c01_gr2018,c02_gr2018,c03_gr2018,c04_gr2018,c05_gr2018,sns_use2018,freq_sns12018,news_med12018,news_med22018,news_med32018,news_plat12018,news_plat22018,news_plat32018,year2018,hid2019,area_siz2019,gender2019,age_gr2019,age2019,mob_use2019,mob_num2019,mob_csp2019,mob_dev2019,c01_gr2019,c02_gr2019,c03_gr2019,c04_gr2019,c05_gr2019,sns_use2019,freq_sns12019,news_med12019,news_med22019,news_med32019,news_plat12019,news_plat22019,news_plat32019,year2019
260002,2600,1,2,6,53,1,1,1,1, , , , , ,2, , , , , , , ,2016,2600,1,2,6,54,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2017,2600,1,2,6,55,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2018,2600,1,2,6,56,1,1,1,1,1,1,1, , ,2, , , , , , , ,2019
270001,2700,1,1,7,62,1,1,1,1, , , , , ,2, , , , , , , ,2016,2700,1,1,7,63,1,1,3,1, , , , , ,2, ,3, , ,3, , ,2017,2700,1,1,7,64,1,1,4,1, , , , , ,1,12, , , , , , ,2018,2700,1,1,7,65,1,1,1,1,1,1, , ,1,2, , , , , , , ,2019
270002,2700,1,2,6,50,1,1,1,1, , , , , ,2, , , , , , , ,2016,2700,1,2,6,51,1,1,3,2, , , , , ,2, , , , , , , ,2017,2700,1,2,6,52,1,1,2,1, , , , , ,1,12, , , , , , ,2018,2700,1,2,6,53,1,1,1,6,1,1,1, ,1,2, , , , , , , ,2019
290001,2900,1,2,7,61,1,1,3,2, , , , , ,2, , , , , , , ,2016,2900,1,2,7,62,1,1,3,2, , , , , ,2, , , , , , , ,2017,2900,1,2,7,63,1,0, , , , , , , ,2, , , , , , , ,2018,2900,1,2,7,64,1,1,2,6, , , , , ,2, , , , , , , ,2019
290002,2900,1,1,6,54,1,1,1,1, , , , , ,2, , , , , , , ,2016,2900,1,1,6,55,1,1,1,1, , , , , ,2, , , , , , , ,2017,2900,1,1,6,56,1,1,2,2, , , , , ,1,2,4, , ,3, , ,2018,2900,1,1,6,57,1,1,1,6, , , , , ,2, , , , , , , ,2019
290003,2900,1,2,4,31,1,1,1,1, , , , , ,1,1, , , , , , ,2016,2900,1,2,4,32,1,1,1,1, , , , , ,1,2, , , , , , ,2017,2900,1,2,4,33,1,1,2,1,1, ,3,1,1,1,2,2, , ,3, , ,2018,2900,1,2,4,34,1,1,1,1, , , , , ,1,15, , , , , , ,2019
300001,3000,1,2,6,53,1,1,1,1, , , , , ,2, , , , , , , ,2016,3000,1,2,6,54,1,1,1,1, , , , , ,2, , , , , , , ,2017,3000,1,2,6,55,1,1,1,1,1,1, ,1,7,1,2,4,2, ,3,3, ,2018,3000,1,2,6,56,1,1,1,1, , , , , ,2, , , , , , , ,2019
300002,3000,1,2,3,26,1,1,1,1, , , , , ,1,2, , , , , , ,2016,3000,1,2,3,27,1,1,1,1, , , , , ,1,12, , , , , , ,2017,3000,1,2,3,28,1,1,1,1,2,1,1,1,3,1,16,4, , ,3, , ,2018,3000,1,2,3,29,1,1,1,1, , , , , ,1,2, , , , , , ,2019
300003,3000,1,2,3,29,1,1,1,1, , , , , ,1,1, , , , , , ,2016,3000,1,2,4,30,1,1,1,1, , , , , ,1,12, , , , , , ,2017,3000,1,2,4,31,1,1,1,1,1, ,2, , ,1,2,3, , ,4, , ,2018,3000,1,2,4,32,1,1,2,1, , , , , ,1,15, , , , , , ,2019
300004,3000,1,1,3,27,1,1,1,1, , , , , ,1,12, , , , , , ,2016,3000,1,1,3,28,1,1,1,1, , , , , ,1,2, , , , , , ,2017,3000,1,1,3,29,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,3,2018,3000,1,1,4,30,1,1,1,1, , , , , ,2, , , , , , , ,2019
